List Id,Phrase,Cluster Label,W0,W1,W2,W3,W4,Good Words,Score,GW0,GW1,GW2,GW3,GW4
1413,sexual abuse,145,sexual humor,sexual abuse,sexual references,animal abuse,sexual scenes,5,1,1,1,1,1,1
1425,second installment,146,final installment,second installment,second sequel,third installment,first installment,0,0,1,1,1,1,1
1472,same movie,147,final movie,right movie,actual movie,western movie,particular movie,0,0,1,1,1,1,1
1479,other viewers,148,young viewers,live feed,many viewers,other viewers,other users,0,0,1,1,1,1,1
1480,dull movie,149,uninteresting movie,boring movie,dull boring,boring film,dull film,0,0,1,1,1,1,1
1485,neil simon,150,NA,neil simon,simon pegg,neil gaiman,neil simons,0,0,0,1,1,1,1
1490,basic premise,151,basic premise,initial premise,basic story,same premise,basic idea,0,0,1,1,1,1,1
1496,gunga din,152,NA,gunga din,NA,NA,NA,0,0,0,1,0,0,0
1514,lisa kudrow,153,eva longoria,lisa kudrow,keanu reeves,toni collette,erika christensen,0,0,1,1,1,1,1
1518,gary cooper,154,indiana jones,gary busey,kemble cooper,gary sinise,bret carr,0,0,1,1,1,1,1
1539,cold water,155,heavy water,cold water,cold heaven,dark water,cold case,0,0,1,1,1,1,1
1548,romantic relationship,156,interracial romance,romantic relationship,serious relationship,romantic interest,incestuous relationship,0,0,1,1,1,1,1
1551,general idea,157,general idea,general hospital,general release,general store,general rule,0,0,1,1,1,1,1
1554,bad thing,158,bad things,bad times,bad thing,bad person,bad wig,1,0.2,1,1,1,1,1
1566,red eyes,159,red herrings,blue velvet,red toolbox,red buttons,red sox,0,0,1,1,1,1,1
1575,same house,160,last house,big house,huge house,same house,full house,0,0,1,1,1,1,1
1594,whole planet,161,red planet,forbidden planet,entire planet,battlefield earth,whole planet,0,0,1,1,1,1,1
1596,vincent cassel,162,NA,vincent cassel,val kilmer,vincent price,seymour cassel,0,0,0,1,1,1,1
1599,other roles,163,other roles,other performers,respective roles,other role,leading roles,0,0,1,1,1,1,1
1600,foreign films,164,foreign movies,foreign films,foreign policy,foreign country,foreign film,0,0,1,1,1,1,1
1603,hidden treasure,165,hidden treasure,hidden dragon,NA,hidden gem,hidden frontier,0,0,1,1,0,1,1
1605,other versions,166,other versions,different versions,other version,previous versions,many versions,0,0,1,1,1,1,1
1611,kevin kline,167,ryan oneal,kevin bacon,doug mcclure,kevin spacey,kevin kline,0,0,1,1,1,1,1
1613,devil dog,168,dog day,guardian angel,devil hunter,bite dog,elephant walk,0,0,1,1,1,1,1
1630,major spoilers,169,major spoiler,possible spoilers,minor spoilers,possible spoiler,major spoilers,0,0,1,1,1,1,1
1641,few twists,170,unexpected twist,enough twists,many twists,new twists,unexpected twists,0,0,1,1,1,1,1
1655,cheap way,171,cheap thrill,cheap shot,cheap attempt,cheap i,cheap thrills,0,0,1,1,1,1,1
1663,big fan,172,big fan,true fan,big fans,great fan,huge fan,0,0,1,1,1,1,1
1664,good performance,173,fine performance,good quality,early performance,credible performance,excellent performance,0,0,1,1,1,1,1
1666,actual events,174,important events,true events,bizarre events,actual fact,actual events,0,0,1,1,1,1,1
1669,mel brooks,175,NA,mel gibsons,NA,NA,mel brooks,0,0,0,1,0,0,1
1670,private eye,176,private media,private eye,keen eye,public eye,private snafu,0,0,1,1,1,1,1
1672,police officer,177,commanding officer,parole officer,superior officer,police story,police officer,0,0,1,1,1,1,1
1683,slow pace,178,slow moving,good pace,slow motion,slow pacing,right pace,0,0,1,1,1,1,1
1690,mary ann,179,mary kornman,mary woronov,ann sheridan,shelley winters,mary ann,0,0,1,1,1,1,1
1753,lex luthor,180,NA,NA,lex luthor,NA,NA,0,0,0,0,1,0,0
1757,busy phillips,181,NA,NA,busy philipps,NA,busy phillips,0,0,0,0,1,0,1
1763,good camera,182,good camera,bad camera,great camera,shaky camera,poor camera,0,0,1,1,1,1,1
1771,good reviews,183,few reviews,positive reviews,many reviews,rave reviews,other reviews,0,0,1,1,1,1,1
1773,polar bear,184,teddy bear,polar bears,polar bear,NA,polar opposite,0,0,1,1,1,0,1
1775,sonny chiba,185,NA,NA,NA,NA,sonny chiba,0,0,0,0,0,0,1
1780,dramatic impact,186,dramatic turn,sudden impact,double impact,global warming,dramatic effect,0,0,1,1,1,1,1
1831,united kingdom,187,lost kingdom,united nations,united states,united kingdom,NA,0,0,1,1,1,1,0
1856,favourite character,188,favourite character,favorite characters,favourite actors,favorite character,favourite scene,0,0,1,1,1,1,1
1862,brian cox,189,todd sheets,sandy dennis,ronny cox,NA,brian cox,0,0,1,1,1,0,1
1868,small town,190,little town,fictional town,small village,entire town,coastal town,0,0,1,1,1,1,1
1883,difficult task,191,NA,NA,delicate balance,impossible task,difficult task,0,0,0,0,1,1,1
1885,sean connery,192,sean connery,sean penns,sean pertwee,hopalong cassidy,sean penn,0,0,1,1,1,1,1
1923,maltese falcon,193,NA,NA,NA,NA,maltese falcon,0,0,0,0,0,0,1
1933,wild things,194,wild ride,wild west,wild things,wild side,wild bill,0,0,1,1,1,1,1
1934,michael douglas,195,douglas fairbanks,anthony mann,michael douglas,michael caine,michael nyqvist,0,0,1,1,1,1,1
1937,good entertainment,196,light entertainment,pure entertainment,little entertainment,great entertainment,mindless entertainment,0,0,1,1,1,1,1
1984,notable exceptions,197,notable exception,NA,notable exceptions,NA,few exceptions,0,0,1,0,1,0,1
1991,fbi agent,198,cia agent,fbi agent,fbi story,NA,federal agents,0,0,1,1,1,0,1
2037,japanese movie,199,japanese animation,chinese movie,japanese woman,japanese girl,japanese culture,0,0,1,1,1,1,1
2048,slapstick comedy,200,slapstick comedy,slapstick humor,screwball comedy,snl skit,situational comedy,0,0,1,1,1,1,1
2058,funny thing,201,funny things,funny i,loud funny,weird thing,funny thing,0,0,1,1,1,1,1
2065,shawshank redemption,202,NA,NA,NA,shawshank redemption,NA,0,0,0,0,0,1,0
2070,terrific actor,203,superb actor,terrific actor,talented actor,fantastic actor,amazing actor,0,0,1,1,1,1,1
2080,other parts,204,important parts,many parts,few parts,good parts,private parts,0,0,1,1,1,1,1
2083,facial expression,205,NA,facial expressions,facial hair,facial expression,NA,0,0,0,1,1,1,0
2119,cerebral palsy,206,NA,cerebral palsy,NA,spinal tap,muscular dystrophy,0,0,0,1,0,1,1
2128,own reality,207,own destiny,virtual reality,own personality,own stunts,own reality,0,0,1,1,1,1,1
2136,good movie,208,good zombie,outstanding movie,good picture,okay movie,important movie,5,1,1,1,1,1,1
2141,avid fan,209,longtime fan,avid fan,dedicated fan,avid reader,loyal fan,0,0,1,1,1,1,1
2145,eddie murphy,210,eddie izzard,eddie murphy,cillian murphy,eddie murphys,lucas buck,-1,-0.2,1,1,1,1,1
2163,western culture,211,pop culture,western front,western civilization,western culture,chinese culture,0,0,1,1,1,1,1
2185,i sure,212,frankly i,i question,i hate,i guess,i try,-1,-0.2,1,1,1,1,1
2194,donald pleasance,213,donald sutherland,NA,NA,NA,donald pleasance,0,0,1,0,0,0,1
2199,psychological thriller,214,erotic thriller,psychological thrillers,political thriller,psychological study,supernatural thriller,0,0,1,1,1,1,1
2201,dumb ass,215,NA,dumb blonde,dumb ass,bad ass,kick ass,0,0,0,1,1,1,1
2213,little suspense,216,little suspense,good suspense,little romance,real suspense,much suspense,0,0,1,1,1,1,1
2249,high level,217,high concept,high price,high praise,high energy,low level,0,0,1,1,1,1,1
2253,david morse,218,david morse,alan hale,david lynch,david dorfman,gillian anderson,0,0,1,1,1,1,1
2254,brief moments,219,brief cameo,brief appearance,brief encounter,tense moments,brief scene,0,0,1,1,1,1,1
2258,rich man,220,rich woman,rich guy,rich man,wealthy man,rich people,0,0,1,1,1,1,1
2264,first episode,221,great episode,single episode,final episode,april fools,first episodes,0,0,1,1,1,1,1
2306,fairy tale,222,fairy tale,cautionary tale,simple tale,tragic tale,fairy tales,0,0,1,1,1,1,1
2307,eli wallach,223,NA,eli roth,NA,eli wallach,NA,0,0,0,1,0,1,0
2310,cuckoos nest,224,NA,cuckoos nest,NA,NA,NA,0,0,0,1,0,0,0
2314,hugh jackman,225,ewan mcgregor,chloe franks,hugh laurie,hugh dancy,ethan hawke,0,0,1,1,1,1,1
2318,young john,226,young john,young michael,john ford,john garfield,john cusack,0,0,1,1,1,1,1
2337,fred macmurray,227,ernie sabella,fred macmurray,fred gwynne,fred astaire,NA,0,0,1,1,1,1,0
2342,freddy vs,228,freddy krueger,vs zombies,freddy vs,good vs,NA,0,0,1,1,1,1,0
2350,main reason,229,main action,main reasons,main focus,main problem,main issue,0,0,1,1,1,1,1
2386,wonderful film,230,marvelous film,watchable film,touching film,musical film,memorable film,5,1,1,1,1,1,1
2389,ed harris,231,ed begley,ed harris,ed wood,ed woods,jared harris,0,0,1,1,1,1,1
2390,major part,232,major difference,major part,major studios,important part,major studio,0,0,1,1,1,1,1
2407,local store,233,local library,local theater,web site,local video,local sheriff,0,0,1,1,1,1,1
2408,boogie nights,234,NA,NA,NA,arabian nights,boogie nights,0,0,0,0,0,1,1
2413,emma roberts,235,julia ross,emma thompsons,emma roberts,NA,sophia loren,0,0,1,1,1,0,1
2496,good show,236,little show,good show,good television,next show,only show,0,0,1,1,1,1,1
2510,right side,237,down side,left field,right frame,right wing,bad side,0,0,1,1,1,1,1
2516,musical sequences,238,musical numbers,musical sequence,musical sequences,musical number,musical moments,0,0,1,1,1,1,1
2538,daily lives,239,daily life,NA,normal lives,daily show,daily lives,0,0,1,0,1,1,1
2577,pretty face,240,pretty face,straight face,familiar face,NA,baby face,0,0,1,1,1,0,1
2579,same scene,241,opening scene,entire scene,disturbing scene,early scene,great scene,0,0,1,1,1,1,1
2584,lesbian vampires,242,lesbian vampire,lesbian love,NA,lesbian vampires,first vampires,0,0,1,1,0,1,1
2656,gwyneth paltrow,243,gwyneth paltrow,uma thurman,nicole kidman,gena rowlands,sissy spacek,0,0,1,1,1,1,1
2660,final result,244,final result,disastrous results,final part,final solution,final thoughts,0,0,1,1,1,1,1
2675,illegal immigrant,245,NA,illegal immigrant,NA,illegal immigrants,NA,0,0,0,1,0,1,0
2692,personal experience,246,personal level,prior knowledge,unique experience,personal favorites,personal experiences,0,0,1,1,1,1,1
2720,andy dick,247,andy hardy,andy dick,andy stitzer,kim novak,andy warhol,0,0,1,1,1,1,1
2732,nathan lane,248,nathan detroit,nathan lane,lois lane,NA,rosemary lane,0,0,1,1,1,0,1
2742,hal hartley,249,hal hartley,hal roach,NA,vivian blaine,NA,0,0,1,1,0,1,0
2759,american movie,250,american characters,american remake,american version,american cinema,denzel washington,0,0,1,1,1,1,1
2760,elia kazan,251,NA,NA,NA,elia kazan,NA,0,0,0,0,0,1,0
2789,directorial effort,252,directorial debut,directorial effort,NA,directorial style,NA,0,0,1,1,0,1,0
2795,flesh eating,253,NA,NA,flesh eating,raw meat,fried worms,0,0,0,0,1,1,1
2800,good acting,254,acting lessons,acting job,acting class,great acting,acting talents,0,0,1,1,1,1,1
2809,grand prix,255,grand island,grand scale,grand total,grand canyon,grand prix,0,0,1,1,1,1,1
2819,same kind,256,same message,same subject,same reaction,same clothes,same effect,-1,-0.2,1,1,1,1,1
2823,good taste,257,cheese factor,good mix,poor taste,bad taste,first taste,0,0,1,1,1,1,1
2827,stupid thing,258,cruel intentions,stupid i,stupid pointless,stupid idea,stupid things,3,0.6,1,1,1,1,1
2833,good job,259,solid job,masterful job,wonderful job,amazing job,bad job,0,0,1,1,1,1,1
2837,british accent,260,russian accent,french accent,german accent,european accents,american accent,0,0,1,1,1,1,1
2843,shia labeouf,261,NA,shia labeouf,NA,NA,NA,0,0,0,1,0,0,0
2851,naked girls,262,naked woman,naked mile,naked spur,naked gun,naked brothers,0,0,1,1,1,1,1
2856,good actress,263,great actress,fine actress,bad actress,wonderful actress,favorite actress,0,0,1,1,1,1,1
2863,low budget,264,supposed budget,decent budget,huge budget,low budget,low rent,0,0,1,1,1,1,1
2865,historical context,265,historical figure,cultural references,historical value,historical events,historical inaccuracies,0,0,1,1,1,1,1
2872,gopal varma,266,gopal varma,amrita rao,ramgopal varma,nikhil advani,rajpal yadav,0,0,1,1,1,1,1
2878,good flick,267,little flick,lucille ball,good slasher,great flick,chick flick,0,0,1,1,1,1,1
2885,romantic movie,268,romantic comedy,romantic love,romantic comedies,romantic leads,romantic subplot,0,0,1,1,1,1,1
2888,eytan fox,269,NA,NA,NA,eytan fox,NA,0,0,0,0,0,1,0
2914,scifi movies,270,scifi action,fi channel,bad scifi,good scifi,sci fi,0,0,1,1,1,1,1
2916,independent movie,271,independent film,independent movie,independent movies,independent woman,independent horror,0,0,1,1,1,1,1
2933,inner turmoil,272,inner conflict,inner workings,solar crisis,inner strength,inner demons,0,0,1,1,1,1,1
2958,many words,273,few words,many words,last words,other words,many references,0,0,1,1,1,1,1
2988,professional actors,274,professional actors,professional critics,professional wrestling,professional film,nonprofessional actors,0,0,1,1,1,1,1
2992,beautiful woman,275,beautiful girls,crazy woman,beautiful people,intelligent woman,beautiful scene,0,0,1,1,1,1,1
2994,silent movie,276,silent version,silent night,silent film,silent movies,silent movie,0,0,1,1,1,1,1
3004,rare gem,277,rare example,rare treat,rare gem,true gem,little gem,0,0,1,1,1,1,1
3011,good guy,278,poor guy,only guy,perfect guy,first guy,guy thing,-1,-0.2,1,1,1,1,1
3020,own way,279,own face,own rules,own needs,own thing,open mind,0,0,1,1,1,1,1
3031,good plot,280,interesting plot,enough plot,good plots,weak plot,decent plot,0,0,1,1,1,1,1
3038,white man,281,white people,white chicks,white boys,white fire,white person,0,0,1,1,1,1,1
3074,only redeeming,282,redeeming qualities,only redeeming,single redeeming,redeeming quality,redeeming feature,0,0,1,1,1,1,1
3079,gay couple,283,arranged marriage,gay marriage,young gay,lesbian sex,gay people,0,0,1,1,1,1,1
3104,heavy metal,284,mixed bag,heavy traffic,rancid aluminium,heavy metal,full metal,0,0,1,1,1,1,1
3108,bourne series,285,bourne series,bourne ultimatum,NA,bourne movies,NA,0,0,1,1,0,1,0
3116,same style,286,same style,unique style,gothic atmosphere,old style,standard fare,0,0,1,1,1,1,1
