Phrase,Cluster Label
suspense,158
satisfied,131
ignorant,141
mischievous,14
hong,38
iranian,156
distinctive,39
green,125
plastic,44
tasteless,85
static,132
unusual,66
wicked,7
spoiled,64
magnificent,9
inappropriate,165
top,56
obligatory,110
unaware,179
ill,155
damned,141
funny,13
pro,121
beloved,151
sorry,115
shy,99
skilled,34
rick,47
independent,52
sebastian,43
harmless,89
critical,182
utterly,89
academy,87
wouldnt,48
glorious,163
edward,178
south,40
porn,17
clumsy,141
destructive,147
musical,41
insulting,141
cohesive,69
ann,42
ethnic,91
robin,47
free,46
vicious,80
forgivable,93
mainstream,58
accidental,186
20th,12
latin,119
anxious,54
hammy,158
crystal,106
satirical,51
sweet,32
classy,23
script,51
chief,56
daniel,164
global,92
existential,16
san,43
eager,90
unconscious,143
few,70
lush,163
third,107
middle,59
sir,178
trash,44
broken,59
following,45
wont,48
animated,116
ed,129
gripping,82
aesthetic,63
neurotic,85
italian,0
aware,112
good,46
chris,47
donald,178
disney,116
logical,185
needless,175
traditional,91
martial,27
unpredictable,72
blatant,103
present,96
didnt,48
mel,173
outer,49
andy,47
russian,156
disappointing,25
horror,116
gary,123
satisfying,35
local,70
main,77
curious,35
odd,66
psychological,142
overblown,94
magic,118
paced,170
recommended,110
thoughtful,50
exciting,35
literal,63
sissy,95
rushed,59
citizen,57
nicolas,67
patient,142
character,169
obscure,22
universe,169
vocal,41
lewis,178
13th,12
desperate,54
irresponsible,141
intriguing,35
central,162
casual,23
comedy,51
visible,149
unfunny,13
unanswered,179
very,3
sleazy,85
lee,38
late,120
glossy,23
own,52
inane,6
irritating,85
varied,102
shot,73
biblical,81
mysterious,66
explicit,17
underwater,53
warrior,161
gruesome,157
thankful,153
frustrated,54
lisa,55
smart,23
senior,56
michael,164
british,57
unsure,179
mediocre,25
advanced,70
noble,161
fresh,79
forty,15
brilliant,9
bear,171
sympathetic,65
bubble,11
sixth,107
safe,46
sinister,7
atmospheric,171
irresistible,128
lame,141
unhappy,54
van,164
fay,42
redundant,175
major,70
stanley,183
dan,129
fox,51
blonde,4
routine,139
taut,158
prime,127
disjointed,168
intact,144
incoherent,69
egyptian,156
weird,66
practical,61
dramatic,11
likeable,136
gorgeous,163
visual,41
queen,174
contemporary,58
overlooked,101
quiet,111
convincing,3
back,59
sexual,98
sophisticated,72
uninteresting,181
modesty,109
half,107
kathleen,42
criminal,60
first,107
alcoholic,10
heaven,81
useful,61
aggressive,37
pet,2
further,79
lifetime,133
apparent,185
quintessential,22
rude,85
friday,127
unforgettable,83
quick,187
worst,157
large,86
deliberate,186
susan,174
moral,16
al,127
murdered,73
invisible,89
rampant,135
frightening,82
stale,124
bizarre,66
nick,129
mr,62
immortal,81
poetic,63
unforgivable,103
southern,162
miserable,64
actual,96
rare,3
unsympathetic,65
honest,50
lucas,123
denzel,95
strange,66
false,146
nerdy,99
flawless,9
limited,79
matt,47
brazilian,0
overwhelming,114
understandable,185
frank,30
anonymous,146
norwegian,105
norman,178
sole,77
correct,165
gross,107
relative,96
excited,131
deserted,111
ricky,47
supposed,115
eric,123
mike,47
adorable,99
fitting,165
cartoonish,99
summary,5
comparable,96
front,113
french,67
urban,68
youthful,14
great,46
coherent,69
gray,31
elaborate,72
ensemble,41
objective,130
rita,42
superficial,185
fascist,140
anthony,178
other,70
self,52
repulsive,181
acting,71
specific,165
super,127
complicated,72
distinct,39
rachel,55
socalled,88
impressed,131
twisted,31
implausible,94
dead,73
laugh,13
favorite,74
innocent,60
optimistic,75
nervous,124
charismatic,136
romantic,51
gritty,22
genre,58
stark,167
illogical,94
relaxed,111
comic,51
moving,59
crude,122
painful,157
running,59
whos,88
prior,45
insightful,50
realistic,130
left,59
simplistic,6
dynamic,102
warm,76
tremendous,138
primary,77
tense,111
new,96
friendly,46
nifty,9
climactic,158
embarrassing,157
psycho,26
paul,164
skin,78
lucky,153
idiotic,141
additional,79
suitable,165
wellknown,88
disturbing,82
fanatic,21
double,107
misguided,141
high,159
flesh,78
tall,104
messy,72
eccentric,22
brutal,80
darn,99
usual,96
violent,80
influential,1
boring,97
entertaining,13
soft,76
contrary,130
private,52
shaky,144
uneven,187
gory,26
uptight,85
imaginary,169
ben,47
intellectual,87
eternal,81
couch,143
wendy,55
mature,50
worried,112
liberal,1
glamorous,23
controversial,137
absolute,19
john,178
god,81
flimsy,94
opposite,96
unnatural,134
unsettling,82
hostile,154
futuristic,23
fred,129
traumatic,142
fair,130
seventh,107
opening,107
elegant,23
sound,41
contrived,158
deceased,73
ten,15
alex,47
true,115
kevin,47
sam,173
skeptical,75
american,119
novel,169
vulnerable,144
delicate,144
unsuspecting,21
necessary,165
swiss,67
efficient,61
appalling,157
dangerous,147
courageous,161
upper,159
modern,58
incestuous,98
uplifting,83
poignant,83
unlikely,36
terrible,157
rich,102
surprised,131
narrow,84
feminine,128
last,107
rational,130
fried,32
oh,176
doesnt,48
natural,2
sufficient,108
hardy,161
hypnotic,128
immediate,36
steady,187
adrian,47
overrated,101
storyline,169
disabled,155
obnoxious,85
fascinating,35
small,86
demonic,7
unconvincing,168
unsatisfying,97
available,79
academic,87
theyre,88
rival,126
dumb,141
vapid,6
banal,6
generous,50
unrealistic,94
useless,89
difficult,72
proverbial,6
innovative,150
pitiful,64
definite,185
grown,124
gigantic,114
sour,32
believable,136
juvenile,60
willing,90
id,146
industrial,68
outlandish,94
dorothy,42
athletic,121
worthless,89
dull,97
extra,79
unique,39
harriet,174
phenomenal,138
compelling,35
religious,91
sean,47
incomprehensible,134
scorsese,116
non,70
financial,92
claustrophobic,26
bearable,93
minute,107
obsessed,21
ludicrous,94
faithful,81
favourite,74
homeless,155
meryl,95
greek,156
girls,4
united,119
timothy,178
gonna,176
filmed,117
pete,173
unfamiliar,66
youll,24
same,96
famed,151
isolated,86
loved,115
tedious,97
akshay,95
flat,86
los,43
homosexual,98
irrelevant,89
thin,84
massive,114
soviet,140
abysmal,64
cute,99
exterior,39
laughable,94
christmas,104
shoddy,137
numerous,100
economic,92
later,120
flick,51
underrated,101
wretched,64
goofy,99
interested,112
eli,123
runaway,187
diverse,102
costume,41
puppy,99
frontal,33
hungry,124
cheerful,14
serial,169
temporary,79
linear,132
hollow,104
despicable,103
inherent,185
tree,104
minimal,108
racial,91
love,115
stop,59
irrational,134
acceptable,130
cannot,8
boys,4
official,56
die,73
seagal,123
appealing,35
dubious,137
uniformly,132
cultural,91
pure,139
unintentional,186
swedish,105
come,115
lasting,16
unexpected,11
infamous,135
down,59
screen,106
arent,24
powerful,114
second,107
substantial,108
dean,183
understated,22
touching,83
occasional,100
net,107
eventual,36
inspired,151
childish,141
uncertain,179
prepared,90
factual,5
ms,62
general,27
naive,141
purple,125
attractive,181
cillian,95
admirable,109
uncle,178
nasty,141
thick,31
yellow,125
welcome,131
mandatory,110
particular,96
unoriginal,168
calm,111
psychedelic,41
unreal,94
ex,126
east,162
tortured,80
total,19
peculiar,66
frequent,100
stick,115
eddie,173
certain,70
type,96
vibrant,102
snow,76
material,79
plus,79
subsequent,45
christy,42
pedestrian,84
definitive,19
concerned,112
enormous,114
credible,130
inside,113
informative,13
huge,114
albert,178
bourne,174
forth,59
open,127
vivian,174
chaotic,170
smile,14
know,115
spirited,154
films,116
identical,96
tight,37
evident,185
helpless,54
table,159
fish,2
disastrous,64
incorrect,5
video,117
incapable,20
todays,88
scared,124
wasted,122
ninja,152
stereotypical,85
classical,58
unlikeable,65
average,159
grotesque,94
magical,118
golden,125
provocative,13
adam,47
america,119
foreign,70
early,120
clean,46
reliable,61
americas,119
civil,27
commercial,160
below,159
psychic,118
epic,63
lifeless,168
horrid,157
mad,2
instant,117
vs,40
recent,45
twin,7
chase,183
single,107
dysfunctional,20
arab,156
professional,121
titular,169
longtime,126
precious,122
triple,107
strict,110
david,123
sadistic,29
uncomfortable,82
discernible,149
steven,123
tired,124
clichéd,6
blue,125
like,70
fourth,107
hey,176
attic,113
wish,115
rob,47
avid,133
called,96
suppose,115
jimmy,173
facial,78
full,19
couldnt,48
only,96
monotonous,97
due,45
petty,60
cheesy,6
gay,98
splendid,9
uncut,17
imagine,115
wrong,115
robert,178
widescreen,106
dear,115
rigid,37
inept,20
titanic,116
ive,88
cant,48
asian,40
elephant,2
gentle,14
cinematic,63
former,126
brian,47
essential,182
rough,37
serious,36
overly,75
freddy,152
sloppy,168
tepid,25
bloody,80
vital,182
underdeveloped,181
guilty,60
sunday,127
ustinov,164
cary,42
secret,113
saturday,127
revolutionary,27
hundred,15
uncanny,138
nicholas,164
hilarious,13
brown,31
underlying,185
fantasy,169
blind,155
passable,93
seductive,128
little,46
pale,31
remote,162
wasnt,48
dreamy,128
mutual,92
artificial,53
dire,167
genuine,16
unappealing,181
bob,129
incidental,13
satisfactory,130
confused,54
lengthy,72
tom,129
reasonable,130
indifferent,65
exotic,66
st,164
christian,91
colorful,22
insane,20
fifteen,15
usa,119
plausible,130
disturbed,112
nuclear,177
communist,140
logic,139
don,173
spiritual,91
noir,116
cast,106
bold,161
choppy,25
gifted,34
comical,13
lovable,136
underwear,18
fatal,147
johnny,173
overlong,97
elite,121
pleased,131
different,96
continuous,132
accomplished,160
ryan,129
lifelong,133
fi,116
dismal,25
special,79
constant,132
creative,150
israeli,27
inner,49
cool,76
fellow,126
inevitable,185
mortal,7
offensive,27
dimensional,106
satanic,7
excellent,46
exquisite,163
awful,157
formulaic,158
inexplicable,134
freaky,26
convoluted,72
notorious,135
mundane,97
unwatchable,6
short,96
likable,136
godawful,6
lean,187
villainous,65
mutant,148
unwilling,90
suburban,68
detailed,19
hysterical,94
catchy,14
busy,124
von,164
dry,76
genetic,142
upbeat,75
separate,96
wet,76
write,8
european,67
everyday,139
emotional,142
ingrid,174
dvd,117
la,0
depressing,82
rainy,76
outrageous,94
questionable,137
vague,179
prominent,151
terrific,9
enough,8
cinematographic,150
alfred,178
dreary,167
superior,184
superfluous,89
fairy,118
symbolic,16
portuguese,0
trashy,158
partial,19
original,96
incredible,138
wounded,73
overall,107
aforementioned,70
sad,83
todd,55
jewish,91
stunning,9
steve,123
comfortable,3
femme,128
philosophical,63
slimy,26
restored,12
sassy,14
fun,35
simple,139
unnamed,56
derivative,139
distant,66
inspirational,83
stern,37
sympathy,16
rotten,28
ingenious,150
ridiculous,94
mere,185
critic,58
spectacular,9
near,113
scary,26
social,91
legendary,151
nazi,140
mean,115
read,115
happy,131
explosive,147
columbo,136
straight,107
shallow,76
alien,7
comedic,51
digital,117
immense,114
sappy,158
commentary,172
stupid,141
live,117
forgotten,115
mental,142
asleep,143
unexplained,134
subpar,25
danny,47
sublime,9
lonely,64
vivid,83
maximum,159
eponymous,169
big,114
lighthearted,14
poor,46
fragile,144
daily,172
demented,21
capable,61
sure,115
familiar,35
conscious,185
canadian,57
monumental,114
real,115
timeless,128
pretty,3
dick,129
suggestive,13
future,36
final,107
rental,180
foul,186
spooky,26
excessive,175
hugh,178
hopeful,75
engaging,13
suicide,147
valid,130
drunken,10
crazy,141
low,159
positive,145
arnold,123
neil,47
elvis,30
popular,74
unimpressive,25
jean,67
acted,71
fake,146
phony,146
slight,149
hateful,103
fine,46
deep,16
brief,45
deadly,147
sincere,16
fast,187
superman,148
sleep,143
extraordinary,138
previous,45
radical,1
intimate,83
idealistic,50
lead,107
international,92
fight,154
grade,159
noticeable,149
nice,46
le,67
directorial,116
nonsense,94
marvelous,138
batman,148
accessible,61
inventive,150
responsible,112
famous,151
macho,85
weak,25
lex,148
vincent,164
peaceful,111
potential,36
betty,42
nonsensical,94
memorable,83
allen,178
clunky,168
mechanical,139
abusive,29
zombie,152
fortunate,153
selfish,29
proper,165
fierce,154
nostalgic,83
expensive,180
impressive,9
verbal,14
clear,185
thought,115
sunny,76
electronic,117
damn,141
bottom,159
empty,113
ambitious,160
shocking,157
pompous,85
wide,84
english,0
romanian,105
mindless,141
spinal,33
wwii,140
elderly,155
turkish,156
wise,46
eerie,26
unbelievable,138
nuanced,50
feeble,168
horrible,157
melodramatic,158
above,159
tragic,157
unstable,144
several,100
ominous,82
enigmatic,128
dr,62
retarded,142
gillian,42
harsh,80
public,52
complex,72
lowkey,24
monstrous,157
terrorist,60
obsessive,21
touch,106
north,40
psychotic,21
pal,176
exaggerated,5
successful,160
pregnant,4
scottish,57
isnt,88
alltime,101
stephen,123
hot,76
brave,161
um,176
oblivious,65
amazing,138
vhs,117
generic,180
wacky,22
liked,115
bitter,154
amy,55
amateur,121
eastern,162
nightmare,157
ironic,13
bugs,99
spontaneous,11
silent,116
im,176
ritual,91
dirty,141
vile,103
undead,152
young,34
plain,139
slim,84
veteran,126
whimsical,14
outstanding,87
considerable,108
lovely,163
skinny,99
suspenseful,158
peter,164
related,70
born,174
exceptional,138
utter,134
misleading,5
anime,116
current,96
farfetched,94
akin,66
commendable,109
bad,46
blank,106
dutch,0
appropriate,165
unlucky,153
protective,49
sensual,128
active,160
rid,7
wealthy,155
negative,145
added,79
delirious,21
funeral,73
reluctant,90
shameful,103
many,70
horrific,157
abrupt,11
ted,129
angry,54
virtual,117
multiple,100
exact,179
annoying,85
literary,63
authentic,58
user,106
else,115
predictable,185
male,166
various,100
bleak,167
sarcastic,14
unable,8
postwar,140
fifth,107
entire,19
fabulous,32
suspicious,112
enthusiastic,131
priceless,122
unseen,134
uninspired,168
german,67
patriotic,91
next,107
lost,59
used,96
historic,12
victorian,12
margaret,174
personal,52
executive,56
polish,105
sensational,9
national,56
hollywood,116
ancient,151
cheese,32
reminiscent,39
fit,3
topless,18
much,96
pivotal,182
truly,3
cliché,6
notable,151
nurse,4
crappy,6
narrative,63
ordinary,139
iconic,151
northern,162
fictional,169
navy,27
clever,150
frenetic,170
dreadful,157
luke,47
missed,107
polar,171
cole,123
repetitive,97
larry,173
supporting,71
weekly,172
vengeful,21
title,107
easy,139
documentary,116
experienced,34
past,59
intricate,72
nearby,86
extreme,80
afraid,115
uwe,164
chinese,38
gloomy,167
cruel,80
internal,113
nicole,55
west,40
harry,178
art,58
charlie,173
devoid,89
vietnam,38
buddy,173
elizabeth,174
astonishing,138
unnecessary,175
louis,67
alive,73
known,151
dont,48
atmosphere,76
sarah,42
downright,94
ok,176
frankly,3
onscreen,106
hokey,6
interior,113
grim,167
heroic,161
pleasant,163
ultra,1
eleven,15
mobile,117
legitimate,130
impeccable,109
indian,57
atomic,177
amateurish,168
william,178
latter,96
long,59
rebellious,161
santa,43
upset,54
illegal,60
focused,112
expert,56
slick,128
involved,112
stewart,178
lyrical,63
severe,11
unclear,179
rapid,187
helpful,61
tolerable,93
ideal,46
miss,4
corrupt,20
cannibal,152
devil,7
fat,78
humble,139
classic,74
grainy,117
martian,171
cheap,180
adventurous,150
raw,180
poorly,3
wonderful,163
uneasy,144
white,125
whiny,85
hopeless,64
soso,24
loose,113
fbi,60
parallel,84
meaningless,89
significant,108
lunatic,21
junior,56
cynical,29
artistic,41
equal,96
tony,47
remarkable,138
hard,37
freeman,183
countless,100
cold,76
sexy,128
confident,75
indie,51
danish,105
inconsistent,5
exploitative,29
lousy,64
unhinged,21
insipid,168
mexican,0
erotic,17
straightforward,139
sub,40
un,177
unattractive,181
redeeming,109
crucial,182
polished,23
catholic,91
healthy,46
electric,125
intense,154
corporate,92
morgan,183
token,108
subtle,185
lavish,114
mrs,62
supportive,131
unbearable,93
refreshing,32
close,120
scientific,87
sensitive,112
london,57
please,115
mickey,148
slapstick,51
unlikable,136
inferior,184
rocky,167
teenage,4
furious,154
historical,58
obvious,185
awkward,82
guy,115
wes,47
endless,97
intentional,186
snappy,23
key,182
noteworthy,35
slow,187
jealous,54
