Phrase,Cluster Label
original lion,395
laputa castle,57
first impressions,20
black hair,58
good aspects,316
sole reason,59
middle part,306
high fidelity,217
gruesome death,363
frankly i,212
johnny test,479
ex girlfriend,557
long island,318
underdog story,349
helen mirren,179
key element,383
black riders,88
early comedy,372
first look,20
real sense,64
early morning,326
main issue,229
same level,217
inconvenient truth,341
great movie,60
black woman,88
jon voight,13
many occasions,299
crazy killer,569
same time,61
big twist,367
future films,85
big score,524
best picture,208
lorne greene,329
good side,237
visual flair,378
favourite film,111
first point,351
dominic monaghan,192
interesting idea,317
red buttons,159
few exceptions,197
fatal attraction,51
own daughter,135
great director,10
solid story,396
major difference,232
next project,93
american woman,45
incredible i,292
other users,148
famous role,383
white woman,281
dead father,77
human race,348
free spirit,538
famous people,384
nice lady,556
desperate attempt,62
british soldiers,63
elderly woman,275
serious tone,124
big business,367
didnt care,123
real reason,64
love scene,241
white guys,281
awful lot,24
great pains,428
great comedy,372
little rough,474
new identity,391
mans life,130
underlying themes,303
topless scene,53
upper hand,578
silly story,341
great supporting,301
close friend,65
final solution,244
fight scenes,78
high sierra,140
memorable performances,484
renny harlin,66
detective story,349
low i,310
willing suspension,100
good one,316
human bondage,348
hot shot,460
porn movies,379
usual suspects,76
later movies,96
hidden gem,165
young ones,500
underrated film,230
personal favourite,188
dead code,525
first fifteen,69
facial expressions,205
unique way,105
western front,211
previous reviewer,108
new york,67
tragic story,341
small parts,464
old kid,28
satisfying conclusion,317
helena bonham,532
great songs,535
red rock,70
clear cut,68
disney movie,17
soft spot,342
fbi story,198
funny bits,201
hidden frontier,165
false note,568
big d,367
mr blandings,36
red herring,159
todd sheets,189
little children,346
horrible acting,452
cant talk,43
bogus journey,421
brief encounter,219
wasted opportunity,121
extreme closeup,408
fifteen years,69
unknown man,444
hard rock,70
last scenes,78
estranged wife,557
comic effect,519
ellen burstyn,54
such depth,574
bad language,505
unfaithful wife,92
new guy,493
several occasions,4
small role,464
many flashbacks,504
numerous times,4
many actors,12
young lady,71
dirty dozen,337
own opinion,72
danish movie,56
comedic genius,411
unintentional hilarity,364
innocent bystanders,354
many i,310
female nudity,553
whole world,478
previous work,61
enjoyable film,230
many reviews,183
american public,45
bugs life,401
bad choices,158
different reasons,513
last ride,128
great comedians,301
hot tub,307
cinematic experience,302
darn thing,258
richard harris,103
big secret,562
wonderful production,439
michael jackson,195
social issues,73
starring role,113
good shows,236
excellent work,119
liv tyler,343
simple plan,122
easy film,42
hong kong,319
complete lack,322
few laughs,567
bad action,491
real man,129
nice guy,556
female character,74
i thought,212
original films,85
special feature,11
scooby doo,75
third person,377
brian yuzna,80
decent acting,254
young age,324
total mess,322
feeble attempts,62
black bart,88
actual game,288
few days,76
christmas movie,147
many lives,384
perfect blend,369
indian girl,400
english actors,12
interesting characters,467
young i,310
human element,348
outside world,478
whole bunch,106
only problem,100
interesting aspect,317
fictional character,519
masterful job,259
scifi action,270
read reviews,183
negative reviews,183
funny story,527
much i,310
dead wife,77
american writer,250
credible performance,173
extra scenes,78
several months,76
same breath,256
indie films,85
prashant raj,560
few scenes,78
first thought,20
mad dog,566
western movie,147
else i,212
black culture,88
erotic thriller,214
beloved wife,77
scrappy doo,75
favorite scenes,111
north america,415
much makeup,35
black hat,88
directorial debut,252
tadanobu asano,543
only complaint,100
corporate ladder,132
hilarious moments,79
hilarious scene,79
exciting movie,143
black screen,139
many laughs,567
whole storyline,106
good twist,98
lee pace,178
much story,349
foreign language,505
brian donlevy,80
north pole,415
modern world,478
first war,81
i watch,212
third world,478
high speed,217
cast members,1
beautiful cinematography,82
other characters,467
hilarious performance,79
japanese film,199
strong word,136
successful career,83
only highlight,100
citizen kane,546
american remake,250
good fortune,98
entire body,48
pop culture,211
fine acting,254
elm street,420
impressive i,292
jean peters,430
polar bears,184
science fiction,386
dark side,320
professional film,274
failed attempt,62
private media,176
underrated actor,203
young friends,92
other peoples,87
american horror,250
sexual assault,145
anna christie,84
only flaw,494
regular people,384
military service,435
stupid decisions,258
bourne ultimatum,285
other stuff,443
huge mistake,2
truman capote,476
daniel day,488
short scene,241
new ones,493
other films,85
superb direction,517
romantic film,268
bad idea,158
long career,83
great look,428
vincent price,162
outstanding film,42
final credits,244
lead character,385
second hour,465
enough action,491
miss anything,86
mysterious island,318
many critics,299
bad cinema,393
costume design,378
second time,405
first exposure,20
ll cool,23
big step,367
make sure,212
other one,87
comic performance,519
black man,88
cindy lou,298
first role,383
big hollywood,127
anne reid,179
last moment,128
green light,501
good qualities,385
lowkey performance,485
old folks,33
excessive violence,408
classic movie,89
long shots,392
ozzy osbourne,90
historical significance,265
fantastic cast,390
several others,299
much work,35
human body,348
mainstream media,518
great love,520
british version,425
russian accent,260
unique movie,143
negative review,573
true meaning,391
blue monkey,159
high ground,217
cold heaven,155
comic strip,519
sexual awakening,145
downs syndrome,91
strong feelings,136
many moments,325
cillian murphy,210
new batman,67
big difference,367
young wife,92
future projects,93
healthy dose,110
same girl,95
good work,316
same director,10
enjoyable experience,302
gun battle,459
little gem,277
nice story,396
main event,229
american accent,260
interesting look,317
brilliant actor,203
last name,410
great animation,60
impressive cast,390
sexual innuendo,145
obvious choice,313
bad direction,517
true horror,380
indian family,400
few beers,76
nostril picker,94
spanish i,310
few words,273
nicholas cage,107
dead mans,130
single day,37
great anticipation,428
osama bin,101
little plot,280
unique story,406
young girl,95
great opportunity,428
other movies,96
decent thing,98
bad cop,393
favourite characters,188
musical genius,238
young actors,97
emotional problems,302
first i,310
particular note,124
many versions,166
good thing,98
fascinating character,519
bad directing,393
i aint,212
small details,464
notorious bettie,565
great escape,355
british actors,425
different story,349
little depth,474
fat guy,278
marilyn monroe,547
pathetic acting,452
japanese soldiers,293
vhs version,468
oliver twist,406
big waste,99
easy money,340
great aunt,428
acting talent,254
little kids,456
fine character,385
charlton heston,531
excellent character,385
next season,6
added bonus,11
only reason,100
ten commandments,436
clean cut,68
same guy,278
al pacino,101
lead performance,173
dead body,525
hot air,440
french production,18
exotic cars,102
hidden dragon,165
negative numbers,573
comic relief,519
low point,351
many families,384
red line,327
fake blood,394
public enemy,382
entire plot,289
important lesson,383
outstanding cast,390
soviet union,81
early role,383
good songs,535
baby face,240
superb job,259
barbara stanwyck,547
black cat,88
cheap laughs,171
japanese girl,199
underrated gem,277
i waste,99
low self,144
single worst,37
real plot,289
random acts,368
little piece,456
following day,488
other scenes,78
fred astaire,227
second one,20
i bet,212
female characters,74
personal life,401
little stories,469
bad joke,158
favorite comedies,111
i guess,212
cheap shots,392
locked room,38
particular episode,221
good mystery,309
bad horror,393
richard dean,103
charming film,230
wonderful people,492
own film,42
ann sheridan,179
new heights,67
artistic merit,480
right places,522
bad comedy,372
dee williams,472
bad boy,346
good actor,203
actual content,174
few times,4
unlikable characters,133
late 1970s,104
keanu reeves,153
mad tv,566
amazing film,230
true fans,520
same effect,256
strong story,396
lesbian vampire,242
last man,129
new testament,67
national geographic,388
big lake,497
cant wait,43
local television,471
original song,395
own eyes,279
particular order,312
i feel,212
animated film,17
short period,455
young womans,507
little detail,456
fat people,384
i wouldnt,212
german resistance,293
tall man,509
deep south,415
new yorkers,67
several movies,96
different way,105
double exposure,142
tense moments,219
italian horror,387
halloween night,326
sad waste,99
good scene,241
common ground,50
bad lines,7
parole officer,177
wonderful show,236
black hole,88
asian cinema,462
gretchen mol,153
good excuse,98
bad hes,158
right thing,522
last picture,128
alok nath,560
wonderful life,492
secret mission,562
own needs,279
few months,76
special forces,352
good start,316
romantic fantasy,268
richard widmark,103
beautiful city,510
slow i,212
hk action,319
real masterpiece,486
different cultures,487
good scifi,270
many films,85
same type,256
decent story,396
many cases,299
real surprise,64
whole thing,106
double impact,186
greenwich village,190
uninteresting movie,149
gary busey,154
physical presence,542
unbelievable i,292
giant country,117
high concept,217
id heard,461
new season,6
full frontal,344
young victoria,92
mel gibsons,175
old life,33
tremendous amount,110
classic horror,89
nick cage,107
deep blue,320
maiden voyage,421
right mood,522
eric valette,338
horrible i,24
major plot,289
previous comment,108
wide release,511
good laughs,539
old book,33
comic scenes,519
brilliant movie,230
cruel intentions,258
strong woman,136
civilian life,401
stop motion,523
other character,467
common theme,50
napoleon dynamite,109
visual effects,378
eleven year,69
physical comedian,542
good amount,110
remarkable movie,60
little chance,456
german shepherd,293
downward spiral,178
climactic battle,459
latter part,464
local theater,233
red eye,159
entire series,479
german films,502
favorite movie,111
miss sunshine,86
latter half,20
robert taylor,112
kathleen turner,571
new fans,493
good art,339
dramatic roles,163
new comer,67
long hair,58
nice pace,178
happy days,424
dumb blonde,215
bad plot,280
young adults,500
full screen,139
late i,310
prior knowledge,246
cameo role,113
prime time,55
fu movies,96
bad times,158
unknown reason,100
great chemistry,515
central theme,120
huge house,160
general rule,157
mental health,499
i guarantee,212
pretty damn,258
unexpected twists,170
different men,336
human face,348
great stories,469
scifi movie,270
uwe bolls,445
cool movie,208
amanda root,114
previous tenant,108
same period,61
great part,355
realistic manner,141
real story,349
great britain,355
past life,131
favorite shows,111
theatrical release,511
extraordinary film,230
lee j,365
burial ground,563
commentary track,11
excellent script,16
next i,310
whole slew,106
previous efforts,131
eastern europe,306
innocent girl,354
terrific movie,208
long while,417
popular culture,211
poor boy,346
solid script,16
wrong way,115
original premise,386
new yorker,67
little thought,456
fictional story,349
laughable i,24
old boy,28
believable story,406
good scares,98
golden globe,552
bad actors,393
beautiful animation,82
directorial style,252
club foot,436
linda hamilton,116
giant monster,117
patrick stewart,118
professional life,401
same reason,100
perfect guy,278
mad world,566
much attention,35
own stunts,207
positive i,490
great deal,428
mainstream films,85
other artists,85
first couple,20
classic i,310
excellent example,119
saturday morning,326
mad max,566
foul play,288
sexual violence,145
little character,385
excellent actors,301
john cusack,226
good cinematography,82
favorite tv,111
many hours,76
betty boop,547
ww ii,81
several scenes,78
old geezer,28
urban cowboy,290
central character,120
proper film,42
sad moments,291
asian horror,380
missed opportunity,121
bad swim,158
simple way,122
little overdone,474
major star,528
late show,104
electric chair,38
acting style,286
navy diver,435
bad guys,158
fine example,512
much information,35
real things,64
robert blake,112
special note,352
little scene,241
first wife,92
sure didnt,123
animated version,17
tim burton,13
first installment,146
utter lack,534
own face,279
same tone,124
modern movies,96
old people,33
own house,160
carole lombard,125
dark movie,149
incestuous relationship,156
amazing plot,280
first clue,20
nice i,556
high art,140
harriet hilliard,532
little effort,456
same premise,151
wide shots,392
talented actress,263
nonprofessional actors,274
hundred times,4
interesting ideas,317
first day,488
gay man,283
little impact,456
other ideas,443
first time,20
overall movie,147
thin air,440
few problems,416
internal affairs,126
many hollywood,127
little research,456
jean arthur,430
ten year,128
last year,128
gay men,283
different angle,487
comic books,519
nuclear family,438
original i,310
significant part,232
instant gratification,554
southern drawl,407
william hurt,548
little movie,208
climactic scene,241
same man,129
cheap shot,171
japanese animation,199
different genres,487
last wave,128
several weeks,76
eleven years,69
final confrontation,459
mixed bag,284
full movie,147
indian cinema,400
memorable performance,485
new story,349
forbidden love,520
young mans,130
original production,439
great movies,60
ordinary people,384
sunday afternoon,326
few flaws,494
due respect,470
past years,131
ulterior motives,313
dont mind,14
original storyline,386
personal story,349
great stuff,428
entire town,190
twisted sense,136
available i,310
prime minister,55
great bit,428
mysterious woman,444
human blood,394
dual role,383
final showdown,459
rich woman,220
little happens,456
old days,33
green eyes,159
remarkable film,230
gratuitous violence,408
low rating,132
blue eyes,159
last one,20
happy go,424
wrong i,212
fictional characters,467
whole experience,106
favorite films,111
historical events,265
inner conflict,272
brief cameo,219
likable characters,133
french films,18
lucio fulci,134
terrible film,530
other efforts,416
bad reputation,158
other men,336
alienate people,384
chuck norris,506
own father,135
weak film,42
last century,508
positive way,490
next level,217
superior officer,177
particular case,256
few bucks,76
amitabh bachchan,560
human rights,348
perfect performance,173
certain level,217
young master,509
red river,159
super mario,295
mental state,311
black i,88
dramatic tension,186
great depression,355
interesting films,143
important story,406
first thing,20
human relations,348
striking resemblance,542
black people,88
genetic engineering,353
small doses,376
great feeling,428
american audience,45
strong sense,136
myrna loy,137
other giants,87
con artist,519
memorable lines,7
blah blah,75
new life,493
italian exploitation,387
technical point,353
chronological order,265
good choice,316
great respect,355
favorite director,10
good humor,138
untold story,341
miss piggy,86
american accents,45
military type,435
julia ross,235
visual treat,378
screen time,139
real film,42
high school,140
new love,493
documentary feel,230
late teens,104
other end,87
light years,501
great episode,221
ambitious film,434
own ways,279
great muppet,60
21st century,508
japanese version,199
strange thing,350
single redeeming,282
only way,316
little love,456
independent movies,271
true sense,50
wild side,194
worth watching,375
european cinema,462
realistic depiction,141
italian film,387
romantic lead,268
japanese people,199
right mind,522
past history,131
political message,575
first glance,20
i wonder,212
double bill,142
different movies,96
whole film,42
italian director,387
entertaining action,491
elizabeth taylor,112
guy thing,278
femme fatale,448
emotional connection,302
dont work,14
great show,236
next step,488
interesting movie,143
old child,28
id love,461
low quality,144
top acting,9
other stars,550
first contact,20
average person,377
unknown actors,12
favourite movies,111
same people,384
sure everyone,212
personal problems,246
sexual abuse,145
disturbing scene,241
second point,351
different style,286
only time,61
real feeling,64
tragic end,363
blue screen,139
comedic moments,79
ryan oneal,167
funny part,201
own time,279
second installment,146
doesnt work,414
own voice,495
unique blend,286
numerous problems,416
old self,33
chris sarandon,54
historical inaccuracies,265
few actors,12
lorenzo lamas,409
lame attempt,29
original show,362
stupid dialogue,287
i wont,212
only value,351
scary movies,530
female turtle,507
cool action,491
likeable characters,133
new light,493
new spin,493
gentleman jim,278
many stars,550
missed opportunities,121
main protagonist,328
old son,28
national lampoons,388
great extent,355
bright spot,501
lousy movie,530
white shark,281
bizarre movie,143
certain sequences,238
complete waste,99
short order,455
zodiac killer,569
john garfield,226
other reality,207
great date,355
dull story,149
main point,229
dont let,14
thin story,396
western civilization,211
good friend,98
couldnt wait,123
first season,6
same movie,147
small children,464
personal stories,469
dont get,14
diving school,140
present day,488
good chance,316
other viewers,148
dull movie,149
poor family,330
criminal mastermind,399
different feel,105
realistic film,42
neil simon,150
good vs,228
born killers,92
donald sutherland,213
perfect combination,369
basic premise,151
small piece,464
main street,420
unsympathetic characters,133
real father,135
important thing,98
gunga din,152
sub plots,289
weird al,101
fine actor,0
first class,20
entire movie,147
true friendship,520
german army,293
tom barman,463
high standard,217
sound effect,533
same quality,144
benicio del,343
evil people,453
stupid people,258
small boy,346
justin timberlake,315
german accent,260
lisa kudrow,153
great team,428
big picture,367
rush hour,465
gary cooper,154
free speech,538
low production,439
perfect way,369
dead movie,147
dont watch,14
dysfunctional family,330
bad stuff,158
big production,439
short movie,147
few chuckles,567
autistic girl,95
black maid,88
arranged marriage,283
stupid idea,258
mad magician,566
i gotta,212
young children,500
great depth,355
real beauty,64
silverman program,496
cold water,155
exotic locations,102
believable character,133
modern viewer,518
mary kornman,179
universal studios,297
welcome addition,26
mary pickford,179
bored i,424
romantic relationship,156
main role,328
possible way,316
general idea,157
special effect,352
fantastic performances,426
bad thing,158
om puri,543
other species,87
artistic value,480
contractual obligation,470
beautiful locations,275
desperate need,62
other hand,87
last series,479
human relationships,348
great man,129
sure youre,123
red eyes,159
strange fruit,350
nice bit,556
beautiful thing,492
atrocious i,24
comic actors,519
american hero,250
single aspect,37
black family,88
same house,160
first year,128
real actor,0
few shows,76
major payne,232
sad story,341
lady death,71
single frame,37
cold feet,155
last days,128
empty acre,576
last time,61
poor taste,257
same theme,303
original run,362
ethereal beauty,82
fourth season,6
colleen camp,435
beverly hills,497
whole planet,161
decent script,16
vincent cassel,162
complex character,328
other aspects,312
other roles,163
foreign films,164
many jokes,567
final reel,244
hidden treasure,165
first comment,108
other versions,166
east hampton,306
little cheesy,474
right time,522
first scenes,78
rich girl,220
kevin kline,167
central focus,120
devil dog,168
major letdown,232
last summer,128
different styles,487
same genre,303
political climate,575
little man,346
leading role,383
female vampire,74
open mind,279
average action,402
international film,434
integral part,232
wild west,194
important point,351
fantastic movie,230
wrong time,115
major spoilers,169
ambitious project,93
bad characters,467
dull i,24
white family,281
beautiful music,431
simple premise,151
early part,359
sylvia miles,481
new year,128
fourth wall,420
few twists,170
other episodes,360
slapstick humor,200
talented director,10
whole idea,106
real feel,64
minor spoilers,169
green screen,139
dolph lundgren,543
human characters,348
big movie,208
overall effect,570
high rating,132
human nature,348
cheap way,171
fine i,212
horrible music,431
german shepard,502
violent movie,361
little room,38
american country,45
negative i,490
big fan,172
good performance,173
other comment,108
actual events,174
main focus,229
entire cast,1
mel brooks,175
private eye,176
great actor,301
police officer,177
british comedies,425
glaring errors,308
crazy man,129
pretty girls,451
outstanding performances,426
good conscience,98
french version,18
new audience,493
main difference,229
dead end,525
slow pace,178
french director,18
few sentences,76
comic genius,519
below average,402
top notch,9
social realism,73
mary ann,179
favorite actors,111
poor actors,97
foreign movies,164
terrible direction,517
intelligent film,230
animated batman,17
public library,382
jean reno,430
i digress,24
attractive woman,275
alright movie,530
web site,233
real person,377
many parts,204
second thoughts,405
nice film,230
nice shots,392
great entertainment,196
poor acting,254
decent performances,426
new kid,493
second series,479
thin line,327
japanese history,199
many levels,299
many years,131
only reasons,100
wonderful performance,173
mental patient,499
screen appearance,139
gillian anderson,218
many shots,392
nice twist,556
new concept,493
awful script,16
dry eye,176
brief appearance,219
little twist,474
nice idea,556
dont miss,14
entire film,42
musical numbers,238
whole ordeal,106
indie movie,380
bad way,158
close relationship,65
big let,367
talented people,384
irish film,425
domestic violence,408
actual plot,289
bright future,501
corporate world,478
evil scientist,453
mexico city,510
bad comments,573
screen version,395
orchestral score,524
real winner,64
first version,395
old soldiers,33
whole i,106
lex luthor,180
own business,279
tommy lee,365
acting performance,254
busy phillips,181
other times,4
homeless people,525
extreme pestilence,408
bad behavior,158
rental store,441
good camera,182
upper crust,578
social worker,73
exceptional performances,426
i didnt,123
australian film,425
different scenes,78
pregnant woman,275
good reviews,183
kansas city,510
polar bear,184
blind woman,275
sonny chiba,185
later film,434
minor characters,370
new territory,67
last day,488
dramatic impact,186
many songs,535
traditional animation,297
mini series,479
realistic drama,141
situational comedy,200
regular guy,278
mad scientists,566
write reviews,183
british films,425
poor character,385
fascinating movie,143
many awards,127
sick i,212
main lead,229
classic cartoon,89
animal house,160
comic moments,519
first segment,405
watchable movie,527
english town,190
main actress,263
violent acts,408
favourite scene,188
particular film,42
favorite lines,7
second movie,434
serious problem,416
basic story,151
michael nyqvist,195
early fifties,321
good example,316
comedic talents,411
seagal movie,17
inner city,510
gorgeous cinematography,82
big thumbs,367
usual stuff,307
ridiculous movie,473
robert altman,112
artistic integrity,480
positive things,490
good lines,7
basic plot,289
ten lines,7
few mistakes,308
local mall,233
other actors,12
own people,384
good material,110
first victim,20
united kingdom,187
entertaining film,230
julian fellowes,397
old college,33
snow man,281
hot millions,307
obvious reasons,313
lock stock,420
stunning performance,485
few surprises,170
constant references,311
beautiful mind,275
convincing performance,485
new film,42
dr strangelove,36
right place,522
jimmy stewart,118
terrible script,16
surprised i,212
abc family,330
major stars,550
original voice,495
little creatures,456
other review,22
west side,237
favourite character,188
precious time,61
new level,217
small feat,464
intelligent dialogue,287
grand duke,255
brian cox,189
mole men,88
norma shearer,296
high tide,217
robin hood,472
little reason,456
small town,190
new hope,493
last section,128
main girl,328
quick cuts,68
italian zombie,387
english speaking,505
supreme court,399
other slasher,96
brilliant actors,301
limited screen,139
new character,493
good effects,533
utter waste,534
supposed budget,264
difficult task,191
intelligent man,509
sean connery,192
compelling movie,143
major disappointment,232
whole story,349
new show,493
i confess,212
bright spots,501
short list,455
good looks,98
nice plot,280
new actors,12
historical drama,265
comic timing,519
wrong turn,115
last week,128
similar plot,289
new scene,241
high praise,217
late seventies,321
escaped convict,354
long story,349
evil force,453
famous actress,263
physical violence,408
decent actress,263
own merits,72
good slasher,267
many questions,574
wonderful characters,467
sexy women,336
short subject,455
red toolbox,159
main reasons,229
nice piece,556
present time,61
many comedies,96
short attention,455
good place,316
maltese falcon,193
great tv,471
good times,316
serious side,237
dorothy lamour,30
japanese movies,199
dont care,14
little horror,380
major hollywood,127
yellow submarine,159
wild things,194
michael douglas,195
interesting manner,317
long i,310
good entertainment,196
disappointing movie,393
similar style,286
only place,100
recent films,85
new episodes,360
lasting impression,490
wooden acting,254
young cast,97
robert stack,112
new girlfriend,47
other imdb,22
boy meets,346
funny character,527
john candy,226
funny things,201
young mind,509
final act,368
similar film,42
ridiculous i,24
french actress,18
cant remember,43
normal movie,147
asian actors,12
intriguing premise,406
final part,244
japanese cinema,199
real suspense,216
next thing,98
white photography,281
solar crisis,272
old movies,544
positive side,490
other kids,443
lindy chamberlain,498
greek chorus,432
global warming,186
nude scenes,53
much dialog,389
i love,424
french movies,18
short running,455
different places,105
other plans,87
main action,229
exact opposite,147
remote island,318
notable exceptions,197
entire scene,241
poor excuse,356
kate beckinsale,54
good screenplay,16
crappy movie,530
own mind,279
fbi agent,198
black men,88
special praise,352
british horror,425
many americans,384
only disappointment,100
norman jewison,27
attractive cast,390
young son,92
white characters,467
early film,434
gary coleman,154
raw meat,253
final nail,244
beautiful movie,143
laugh riot,539
excellent story,396
big show,236
supernatural elements,374
late father,135
such luck,443
different level,105
horrible things,24
western films,85
other genres,96
british character,425
stephen kings,457
good turn,316
next week,488
whole way,106
ingrid bergman,44
beautiful shots,392
uncanny ability,411
new nightmare,493
strange film,230
other side,87
romantic story,268
bad temper,158
solid performance,173
other version,166
poor i,356
late 1960s,104
previous movie,147
nightmare series,479
romantic moments,268
such movies,96
japanese movie,199
many problems,416
terrible acting,452
perfect person,369
accidental death,363
sound quality,533
human heart,348
total waste,99
young woman,95
true story,349
traditional sense,50
slapstick comedy,200
widescreen version,468
different films,85
dead man,525
superb movie,230
